family_id,leader_id,compound,title,family_countries,has_ES
82482577,US-20240285787-A1,Polatuzumab_vedotin,PEPTIDES COMPRISING N-FORMYL-HALOGENATED METHIONINE RESIDUES AND ENGINEERED ANTIBODY-PEPTIDE CONJUGATES THEREOF,CN;EP;JP;US;WO,False
-1,IN-202447040406-A,Polatuzumab_vedotin,PHARMACEUTICAL COMPOSITION COMPRISING HUMAN HYALURONIDASE PH20 AND DRUG,AU;BR;CA;CN;EP;IN;JP;KR;MX;RU;US;WO,False
93431707,WO-2024231899-A1,Polatuzumab_vedotin,COMPOUNDS FOR NOS-RELATED CANCERS AND METHODS OF USE,EP;IL;WO,False
-1,NZ-743923-B2,Polatuzumab_vedotin,CHIMERIC PROTEINS AND METHODS OF IMMUNOTHERAPY,AU;BR;CA;CN;EA;EP;ES;HK;ID;IL;IN;JP;KR;MO;MX;MY;NZ;PH;SG;TH;VN;WO,True
97268193,WO-2025213122-A1,Polatuzumab_vedotin,PANELS AND METHODS FOR TREATMENT OF DIFFUSE LARGE B-CELL LYMPHOMA,WO,False
92903427,CN-120957745-A,Polatuzumab_vedotin,提高大分子药物在肿瘤组织中的浓度的方法,CN;EP;JP;TW;WO,False
80978757,EP-4231017-A1,Polatuzumab_vedotin,DETECTION AND QUANTIFICATION OF ANTI-DRUG ANTIBODIES AND ANTI-SELF ANTIBODIES,CA;CN;EP;IN;US;WO,False
90275536,JP-2025532618-A,Polatuzumab_vedotin,新規なヒアルロニダーゼＰＨ－２０変異体及びその使用,JP;KR;WO,False
56789239,US-10590182-B2,Polatuzumab_vedotin,Binding-triggered transcriptional switches and methods of use thereof,AU;BR;CA;CN;EP;HK;IL;IN;JP;KR;MO;MX;NZ;US;WO,False
85323448,WO-2023028205-A1,Polatuzumab_vedotin,SELECTIVE ISONITRILE INHIBITORS OF CYTOCHROME P450 SUBTYPES,EP;US;WO,False
76181234,US-20230314445-A1,Polatuzumab_vedotin,METHODS FOR IDENTIFICATION OF ANTIGEN-BINDING MOLECULES,US;WO,False
85036944,WO-2023107473-A1,Polatuzumab_vedotin,IDENTIFYING MONOCLONAL GAMMOPATHIES IN A HIGH-RISK POPULATION FOR HEMATOLOGICAL MALIGNANCIES,WO,False
66665815,EP-3717023-A1,Polatuzumab_vedotin,COMPOSITIONS AND METHODS FOR DRUG DELIVERY,CN;EP;US;WO,False
89678163,WO-2025112755-A1,Polatuzumab_vedotin,METHOD FOR TREATING TUMOR WITH COMBINATION OF RECOMBINANT ONCOLYTIC VIRUS AND MACROMOLECULAR ANTIBODY-BASED ANTI-CANCER DRUG,AU;CA;CN;KR;WO,False
81648457,US-20220333074-A1,Polatuzumab_vedotin,Compositions and Methods for Generating Alpha-Beta T Cells from Induced Pluripotent Stem Cells,AR;AU;CA;CN;EP;JP;TW;US;WO,False
80783689,TW-I781415-B,Polatuzumab_vedotin,PHARMACEUTICAL COMPOSITION FOR SUBCUTANEOUS INJECTION COMPRISING HUMAN HYALURONIDASE PH20 VARIANT AND DRUG,TW,False
95284207,WO-2025073290-A1,Polatuzumab_vedotin,VPS4 INHIBITORS AND METHODS OF USE THEREOF,WO,False
93010706,WO-2025049961-A1,Polatuzumab_vedotin,ANTI-CD22 CHIMERIC ANTIGEN RECEPTOR (CAR) THERAPIES,WO,False
-1,ID-P202302386-A,Polatuzumab_vedotin,"KONJUGAT DARI SUATU ANTIBODI DOMAIN TUNGGAL, SUATU SAPONIN DAN SUATU MOLEKUL EFEKTOR, KOMPOSISI FARMASI YANG MELIPUTINYA, PENGGUNAAN TERAPI DARI KOMPOSISI FARMASI TERSEBUT",AU;CA;CN;EP;HK;ID;IL;IN;JP;KR;MX;US;WO,False
77520789,IL-298855-A,Polatuzumab_vedotin,COMBINATION THERAPY WITH DEOXYURIDINE TRIPHOSPHATASE INHIBITORS,AU;BR;CA;CN;EA;EP;ES;HK;IL;IN;JP;US;WO,True
87766876,CA-3244259-A1,Polatuzumab_vedotin,COMPOSITIONS AND METHODS TO MODULATE THE IMMUNE SYSTEM,CA;US;WO,False
93430153,WO-2024232948-A1,Polatuzumab_vedotin,MULTI-RECEPTOR NATURAL KILLER CELLS,AU;CA;EP;IL;JP;KR;TW;WO,False
77666548,US-20230303305-A1,Polatuzumab_vedotin,"METHOD AND PACKAGE FOR REDUCING THE DEGRADATION OF A DRUG AND/OR EXCIPIENT, E.G. POLYSORBATE STABILIZER, IN A PHARMACEUTICAL PRODUCT",EP;HK;US;WO,False
77431086,AU-2022325756-A1,Polatuzumab_vedotin,COMPOSITIONS AND METHODS FOR TREATING AUTOIMMUNE DISEASES AND CANCERS BY TARGETING IGSF8,AU;CA;CN;EP;HK;IL;JP;KR;MX;US;WO,False
72179117,US-20230256111-A1,Polatuzumab_vedotin,"COMBINATION COMPRISING AN ADC OR AN AOC COMPRISING A VHH, AND A SAPONIN OR A LIGAND-SAPONIN CONJUGATE",AU;CA;CN;EP;HK;IL;JP;KR;US;WO,False
83228615,EP-4568983-A1,Polatuzumab_vedotin,CRYSTALLISATION OF A PROTEIN CAPABLE OF CRYSTALLIZING UNDER SALTING-IN CONDITIONS USING MULTIPLE PROTEIN FEEDS,CN;EP;US;WO,False
87340705,EP-4543923-A1,Polatuzumab_vedotin,TREATMENT METHODS FOR SECOND LINE THERAPY OF CD19-TARGETED CAR T CELLS,CN;EP;JP;KR;US;WO,False
87468512,US-20250090582-A1,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING ANTI-CD133 / ANTI-EGFR CHIMERIC ANTIGEN RECEPTORS, AND USES THEREOF",US;WO,False
91670175,WO-2024258897-A1,Polatuzumab_vedotin,ALKOXYPYRIDINYL AND RELATED COMPOUNDS AND THEIR USE IN THERAPY,WO,False
82549079,US-20240103011-A1,Polatuzumab_vedotin,LIQUID BIOPSY YIELD ENHANCEMENT,EP;US;WO,False
78819662,AU-2021376218-A1,Polatuzumab_vedotin,Combination Therapy,AU;CA;CN;EP;HK;IL;JP;KR;MX;TW;US;WO,False
86272346,AU-2023253796-A1,Polatuzumab_vedotin,LIGAND-DRUG-CONJUGATES WITH IMPROVED PHARMACOKINETIC AND DRUG RELEASE PROPERTIES,AR;AU;BR;CA;CN;EP;HK;IL;IN;JP;KR;MX;TW;US;WO,False
70861532,EP-3962950-A1,Polatuzumab_vedotin,TEAC AND ATTAC IMMUNOONCOLOGY COMPOSITIONS AND METHODS,AU;CA;CN;EP;JP;US;WO,False
68806750,EP-4069311-A1,Polatuzumab_vedotin,REACTIVE CONJUGATES,AU;CA;CN;EP;IL;IN;JP;KR;US;WO,False
93655888,WO-2025106626-A1,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS EXPRESSING C-X-C CHEMOKINE RECEPTOR TYPE 4, AND USES THEREOF",WO,False
91033687,EP-4615876-A2,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING ANTI-NECTIN4 CHIMERIC ANTIGEN RECEPTORS, AND USES THEREOF",AU;CA;CN;EP;HK;IL;IN;JP;KR;MX;US;WO,False
88919900,CA-3257248-A1,Polatuzumab_vedotin,ALLOGENEIC HYPOIMMUNE BIOMIMETIC NANOVESICLE FOR THE TREATMENT OF CANCER,CA;CN;EP;JP;US;WO,False
92674096,WO-2024183750-A1,Polatuzumab_vedotin,A NOVEL IMMUNE CELL AND USE THEREOF FOR TREATING DISEASES,WO,False
89473807,WO-2025146488-A1,Polatuzumab_vedotin,ANTI-HGDF-15 ANTIBODY FOR USE IN THE TREATMENT OF CANCER IN A PATIENT IN COMBINATION WITH A CANCER ANTIGEN-TARGETED DRUG CONJUGATE THAT INDUCES CANCER CELL STRESS,AU;CN;IL;KR;WO,False
90476525,WO-2024197401-A1,Polatuzumab_vedotin,"1,3,4-THIADIAZOL-2-YL CARBOXAMIDE AND 1,3-THIAZOL-2-YL CARBOXAMIDE COMPOUNDS AND USES THEREOF AS INHIBITORS OF HUMAN POLYMERASE THETA",WO,False
72885530,WO-2022078566-A1,Polatuzumab_vedotin,REACTIVE CONJUGATES,AU;CA;CN;EA;EP;HK;IL;IN;JP;KR;MX;MY;US;WO,False
91274889,WO-2024229105-A1,Polatuzumab_vedotin,"ANTI-HUMAN M-CADHERIN (CDH15) ANTIBODIES, CONJUGATES, AND USES THEREOF FOR DELIVERY OF GENETIC PAYLOADS TO MUSCLE CELLS",AU;CA;CN;EP;JP;KR;MX;WO,False
84919712,WO-2023288283-A2,Polatuzumab_vedotin,METHODS AND COMPOSITIONS FOR USE IN CELL THERAPY OF NEOPLASTIC DISEASE,CA;EP;HK;JP;US;WO,False
95398681,WO-2025207798-A1,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING ANTI-CD123 CHIMERIC ANTIGEN RECEPTORS, AND USES THEREOF",WO,False
91587445,EP-4638443-A1,Polatuzumab_vedotin,TRANSIENT RECEPTOR POTENTIAL VANILLOID 6 INHIBITORS,AU;CA;CN;EP;JP;KR;US;WO,False
95283952,WO-2025076428-A1,Polatuzumab_vedotin,FOLLICULAR LYMPHOMA TRANSCRIPTOMIC CLASSIFIER,WO,False
95309926,WO-2025194015-A1,Polatuzumab_vedotin,HETEROARYL MODULATORS OF GPR84 AND USES THEREOF,WO,False
84330652,WO-2023049918-A2,Polatuzumab_vedotin,CELLS EXPRESSING ANTIGEN- &amp; SEQUENCE-SPECIFIC T-CELL RECEPTORS (TCRS) AND METHODS OF MAKING THE SAME USING ENFORCED TCR GENE REARRANGEMENT,US;WO,False
84462926,EP-4430398-A1,Polatuzumab_vedotin,METHODS FOR IDENTIFICATION OF ANTIGEN-BINDING MOLECULES,AU;EP;US;WO,False
83228345,CA-3211755-A1,Polatuzumab_vedotin,SYSTEMS AND METHODS FOR PROTEIN EXPRESSION,AU;BR;CA;CN;EP;IL;IN;JP;KR;MX;US;WO,False
95284497,WO-2025194014-A1,Polatuzumab_vedotin,HETERO ARYL MODULATORS OF APMAP AND USES THEREOF,WO,False
93651201,WO-2025101938-A2,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING MULTI-TRANSMEMBRANE DOMAIN CHIMERIC ANTIGEN RECEPTORS UTILIZING G PROTEIN-COUPLED RECEPTOR SCAFFOLDS, AND USES THEREOF",EP;WO,False
95398529,WO-2025207795-A1,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING ANTI-CD33 / ANTI-CD123 CHIMERIC ANTIGEN RECEPTORS, AND USES THEREOF",WO,False
85222536,US-20250064934-A1,Polatuzumab_vedotin,"GENETICALLY ENGINEERED CELLS HAVING ANTI-CD19 / ANTI-CD22 CHIMERIC ANTIGEN RECEPTORS, AND USES THEREOF",AR;AU;CA;CN;EP;HK;JP;TW;US;WO,False
96846585,WO-2025177244-A1,Polatuzumab_vedotin,"COMPOUNDS, PHARMACEUTICAL COMPOSITIONS, AND METHODS OF PREPARING COMPOUNDS AND OF THEIR USE",AU;CA;WO,False
74061434,US-20220249594-A1,Polatuzumab_vedotin,A FORMULATION OF A CONJUGATE OF A TUBULYSIN ANALOG TO A CELL-BINDING MOLECULE,AU;BR;CA;CL;CN;EA;EP;HK;ID;IL;IN;JP;KR;MX;MY;NZ;PH;SG;TH;TW;US;VN;WO,False
72179118,US-20230248845-A1,Polatuzumab_vedotin,COMBINATION OF AN ANTIBODY-DRUG CONJUGATE AND AN ANTIBODY-SAPONIN CONJUGATE,AU;CA;CN;EP;IL;JP;KR;US;WO,False
58709444,US-20230293731-A1,Polatuzumab_vedotin,RNA ENCODING AN ANTIBODY,EP;US;WO,False
83546554,EP-4319817-A1,Polatuzumab_vedotin,"PHTHALOCYANINE DYE COMPOUNDS, CONJUGATES AND METHODS OF USE THEREOF",EP;JP;US;WO,False
93153477,WO-2024220449-A9,Polatuzumab_vedotin,REGULATABLE CONTROLLED EXPRESSION OF A TRANSGENE IN PRIMATES,AU;CA;CN;EP;HK;IL;JP;KR;MX;WO,False
78022788,EP-4132583-A1,Polatuzumab_vedotin,"PHTHALOCYANINE DYE COMPOUNDS, CONJUGATES AND METHODS OF USE THEREOF",AU;BR;CA;CN;EP;HK;IN;JP;KR;MX;US;WO,False
71122810,US-20200208114-A1,Polatuzumab_vedotin,TAXONOMY AND USE OF BONE MARROW STROMAL CELL,US,False
76250419,WO-2021222147-A1,Polatuzumab_vedotin,HETEROCYCLIC GCN2 MODULATORS,WO,False
77391299,EP-4106774-A1,Polatuzumab_vedotin,CHIMERIC ANTIGEN RECEPTOR T CELL THERAPY,EP;HK;TW;US;WO,False
88730904,WO-2023220192-A1,Polatuzumab_vedotin,METHODS AND SYSTEMS FOR PREDICTING AN ORIGIN OF AN ALTERATION IN A SAMPLE USING A STATISTICAL MODEL,EP;US;WO,False
